,SMILES,STABILITY_SCORE,CHEMBL_ID
12,C[C@@H]1CN(CCN1S(=O)(=O)c1ccc(cc1)[C@](O)(C(N)=O)C(F)(F)F)c1ccc(F)cc1C(F)(F)F,0.5,CHEMBL2322710
14,CC1(COC1)c1ccc(cc1)-c1ccc(cn1)C#N,0.6,CHEMBL2386149
22,Fc1ccc(cc1)C(CCNC(=O)N1CCC(C1)c1cnccn1)c1ccc(F)cc1,0.0,CHEMBL1085743
25,CC(C)CCN1N=C(c2cc[nH]c2)C(O)=C(C1=O)C1=NS(=O)(=O)c2cc(NS(C)(=O)=O)ccc2N1,0.5,CHEMBL259781
45,CO\N=C(\N)c1ccc(cc1)-c1cncc(n1)-c1ccc(nc1)C(\N)=N\OC,0.1,CHEMBL2442611
47,CC(C)CC1n2cncc2CN(Cc2cccs2)S1(=O)=O,0.0,CHEMBL1209623
54,CS(=O)(=O)Nc1ccc2NC(=NS(=O)(=O)c2c1)C1=C(O)[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2N(Cc2ccc(F)c(Cl)c2)C1=O,1.0,CHEMBL1076410
69,Cc1noc(C)c1-c1ccc(c(F)c1)-c1nc(C)c([C@H](OC(C)(C)C)C(O)=O)c(c1C)-c1ccc2OCCCc2c1,1.0,CHEMBL3287921
78,C[C@@H]1Nc2cc(ccc2C(N)=O)-n2c3CC(C)(C)CC(=O)c3c(C)c2CCCN2CCCC[C@H]12,0.1,CHEMBL1779545
107,CC(C)S(=O)(=O)c1cccc(Oc2cccc(c2)-c2ccnc3c(cccc23)C(F)(F)F)c1,0.3,CHEMBL595344
116,Fc1ccc(NC(=O)N2CCC(CC2)N(CCc2ccc(Cl)cc2)C(=O)c2csc3ccccc23)c(F)c1,0.2,CHEMBL463115
121,COc1ccc2OCC(Cc2c1)C(=O)Nc1ccc(cc1OCCN(C)C)-c1cn[nH]c1,0.8,CHEMBL482336
126,COc1cccc(NCC(F)Cn2c3ccc(Br)cc3c3cc(Br)ccc23)n1,1.9,CHEMBL3265234
156,CC(C)c1nc2ccccn2c1C(=O)NCc1ccc(cc1)-c1ccccc1,0.5,CHEMBL3298217
159,CC(C)CCN1N=C(c2cccs2)C(O)=C(C2=NS(=O)(=O)c3cc(\C=C/C(N)=O)ccc3N2)C1=O,0.5,CHEMBL258342
164,CN(C)CCOc1cc(ccc1NC(=O)[C@@H]1Cc2ccccc2CN1)-c1cn[nH]c1,1.6,CHEMBL1215093
174,FC(F)(F)Oc1ccccc1CC(N1CCNCC1)c1ccccc1,1.8,CHEMBL375131
194,COc1ccc(cc1OC)C(=O)NCc1cccc(c1)C(=O)NCCC1CCCNC1,2.3,CHEMBL597127
197,OC(=O)C(F)(F)F.COc1ccc(cc1)N1N=C(C2CCN(C(=O)C12)c1ccc(cc1)C1(CN2CCCC2)CC1)S(C)(=O)=O,0.6,CHEMBL453208
202,Fc1ccc(nc1CN1CCCCC1)-c1ccc(CN2CC(=O)N(C3CC3)C2=O)cc1,1.4,CHEMBL1835132
205,CC(C)c1cc(nc(N)n1)N1CC[C@@H](N)C1,2.0,CHEMBL3236549
208,COC(=O)[C@H]1[C@@H](O)[C@@]2(O)c3c(O[C@]2([C@@H]1c1ccccc1)c1ccc(OC)cc1)cc(cc3OC)C#N,0.5,CHEMBL2170556
210,CN1C(=O)C(C)=C(Nc2ccc(I)cc2F)C2=C1N=CN(CCO)C2=O,3.3,CHEMBL1684073
211,N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCc1ccccc1)C(N)=O,0.5,CHEMBL2397492
213,COc1cc(cc(OC)c1OC)C(=N/N)\c1csc(n1)-c1ccccc1,0.9,CHEMBL1830216
