,SMILES,STABILITY_SCORE,CHEMBL_ID
17,CCNC(=O)c1ccc(NC(=O)Nc2ccc(cc2)-c2nc(N3CCOCC3)c3nnn(CC)c3n2)cc1,0.3,CHEMBL591357
105,Oc1c(ccc2cccnc12)C(Nc1ccccn1)c1ccccc1,0.1,CHEMBL1688558
111,Cc1cccc(Cl)c1NC(=O)Nc1cc2ccccc2cc1C(=O)N[C@@H](CCCCN)C(O)=O,0.3,CHEMBL460877
144,NCc1ccc(cc1)C(=O)NC(C1=Nc2ccc(cc2C(=O)N1)-c1cn[nH]c1)c1ccc(Cl)cc1,7.0,CHEMBL2333884
235,CC(C)c1cccc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3ccc(O)c(Br)c3)[C@@H]2O)c1,0.1,CHEMBL1760859
359,CNC[C@@H](O)CCN1c2ccccc2N(c2cccc(OC)c2)S1(=O)=O,0.2,CHEMBL1085323
410,COc1nc(nc(n1)-c1ccc(NC(=O)Nc2ccc(cc2)C(=O)N(C)CCN(C)C)cc1)N1CCOCC1,0.3,CHEMBL1808979
422,CS(=O)(=O)c1cccc(Oc2cccc(c2)-n2c(Cc3ccc(F)cc3)nc3c(cccc23)C(F)(F)F)c1,0.5,CHEMBL594062
424,N[C@H]1COCC[C@H]1Nc1cc2N=CNC(=O)c2c(Nc2cccc3cc[nH]c23)n1,0.2,CHEMBL3262617
467,Fc1cccc(COc2ccccc2N2CCN(CC2)C(=O)c2cc(n[nH]2)-c2ccc(Cl)cc2)c1,0.1,CHEMBL1760332
475,O=C(Nc1ccncc1)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1ccc2ccccc2c1,0.1,CHEMBL2431634
488,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)sc1cc(NC(=O)Oc3ccc(F)cc3)ccc21)C(O)=O,0.5,CHEMBL562114
549,Cc1nc(CN2CCN(CC2)c2cccc3[nH]c(nc23)-c2ccc(cc2)C(C)(C)C)cn1C,0.1,CHEMBL492327
582,Oc1ccc(cc1)-c1cc(cs1)-c1cccc(O)c1,0.3,CHEMBL462513
602,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc12,0.4,CHEMBL809
604,CC(C)n1nc(C(O)c2cccc(Cl)c2Cl)c2c(N)ncnc12,0.3,CHEMBL2324594
632,CN1C2CCC1CC(C2)Oc1nc(nc(n1)-c1ccc(NC(=O)Nc2ccc(cc2)C(N)=O)cc1)N1CCOCC1,0.1,CHEMBL1808992
635,CN1N=C(c2ccc(OCCCN3CCCCC3)cc2)c2ccccc2C1=O,0.7,CHEMBL1835706
646,Cc1cc(\C=C\C#N)cc(C)c1Oc1cc(Nc2ccc(cc2)C#N)c(N)cc1C(N)=O,2.0,CHEMBL2012793
670,CCCc1nc(c(C(=O)OC(C)OC(=O)OC2CCCCC2)n1Cc1ccc(cc1)-c1ccccc1-c1nnn[nH]1)C(C)(C)O,0.0,CHEMBL2338104
